uid,sid
0,117
0,81
0,300
0,253
0,206
0,170
0,2
1,98
1,157
1,275
1,158
1,345
1,143
1,21
1,82
1,207
1,199
1,19
1,95
1,313
1,11
1,222
1,344
1,310
1,305
1,263
1,300
1,341
2,247
2,139
2,180
2,272
2,134
2,328
2,151
2,301
2,79
2,276
2,338
2,255
2,161
2,337
3,22
3,131
3,316
3,275
3,292
3,58
4,169
4,66
4,47
4,102
4,286
4,227
4,154
4,344
4,300
4,31
5,183
5,101
5,93
5,301
5,134
5,3
5,102
5,43
5,229
5,46
5,158
5,67
5,171
5,276
5,56
5,337
5,288
5,272
5,139
5,135
5,137
5,5
6,4
6,341
6,7
6,316
6,0
6,242
6,25
6,111
6,205
6,300
6,299
6,274
6,9
6,245
6,144
7,254
7,60
7,305
7,228
7,267
8,98
8,272
8,161
8,232
8,97
8,216
9,301
9,296
9,314
9,297
9,31
9,180
9,105
9,300
9,106
9,316
9,147
9,341
9,4
9,130
9,64
9,344
9,275
9,66
9,132
9,236
9,278
9,273
9,60
10,102
10,93
10,161
10,90
10,190
10,36
10,130
10,96
10,55
10,14
10,43
10,134
10,196
10,172
10,168
10,87
10,98
10,169
10,330
11,51
11,154
11,218
11,181
11,200
11,301
11,344
11,148
11,27
12,300
12,251
12,256
12,215
12,206
12,81
12,344
13,60
13,176
13,203
13,126
13,228
13,344
14,344
14,331
14,313
14,60
14,133
14,26
15,144
15,341
15,275
15,228
15,267
15,251
15,60
15,344
15,111
15,204
15,270
15,226
15,292
16,46
16,320
16,101
16,171
16,32
16,128
16,83
16,60
16,31
16,66
16,47
16,110
16,52
16,227
16,239
17,275
17,242
17,257
17,30
17,232
17,288
17,326
17,64
17,144
17,217
17,314
17,212
17,104
17,216
17,25
17,222
17,124
17,98
17,341
17,186
17,204
17,111
17,271
17,208
17,277
17,228
18,301
18,254
18,171
18,0
18,8
18,116
18,47
18,29
18,148
18,31
18,231
18,227
18,257
18,154
18,255
18,300
18,71
18,189
18,107
18,134
18,338
18,285
18,66
18,45
18,101
18,44
19,180
19,133
19,60
19,93
19,344
19,98
19,227
19,349
19,23
20,133
20,154
20,287
20,213
20,311
20,244
20,42
20,251
20,342
21,139
21,227
21,344
21,150
21,328
21,119
21,123
21,288
21,217
21,218
21,90
21,270
21,274
21,275
21,228
21,12
21,292
21,151
21,341
21,236
21,300
21,104
21,60
21,281
21,9
22,344
22,328
22,134
22,270
22,218
22,71
22,33
22,184
22,161
22,341
22,122
22,348
22,301
22,324
22,313
22,300
22,275
22,165
22,148
22,276
22,351
22,60
22,78
23,227
23,114
23,31
23,333
23,53
24,176
24,60
24,228
24,318
24,299
24,76
24,154
24,344
24,180
24,88
24,98
25,51
25,257
25,31
25,66
25,239
25,344
25,288
25,301
25,134
25,0
25,148
25,174
25,300
